Parent ID,Item Type,Parent Document,Child ID,Item Type,Child Document
MASTER-6370,User Requirement,URSCIC,MASTER-60716,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60720,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60721,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60722,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60723,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60724,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60725,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60726,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60727,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60728,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60729,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60732,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60733,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60735,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60903,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-60904,System Requirement,HAFS
MASTER-6370,User Requirement,URSCIC,MASTER-17763,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-17764,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-50013,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-50021,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60675,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60676,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60681,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60682,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60690,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60691,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60692,System Requirement,HAFT
MASTER-6370,User Requirement,URSCIC,MASTER-60693,System Requirement,HAFT
